"Nome do módulo","Nome de exibição","Tipo de driver","Data do link"
"fvevol","Driver de Filtro de Criptografia de Unidade de Disco BitLocker","Kernel ",""
"gencounter","Contador de Geração do Microsoft Hyper-V","Kernel ",""
"genericusbfn","Classe de Função USB Genérica","Kernel ",""
"GenPass","Regulador GenPass da Microsoft","Kernel ",""
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Kernel ",""
"HdAudAddService","Driver de Função Microsoft 1.1 UAA para Serviço de High Definition Audio","Kernel ",""
"HDAudBus","Driver de Barramento Microsoft UAA para High Definition Audio","Kernel ",""
"HidBatt","Driver de Bateria UPS HID","Kernel ",""
"HidBth","Miniporta HID Bluetooth da Microsoft","Kernel ",""
"hidi2c","Driver de Miniporta HID I2C da Microsoft","Kernel ",""
"hidinterrupt","Driver Comum para Botões HID implementado com interrupções","Kernel ",""
"HidIr","Driver HID infravermelho da Microsoft","Kernel ",""
"hidspi","Driver de Miniporta HID SPI da Microsoft","Kernel ",""
"HidSpiCx","HidSpi KMDF Class Extension","Kernel ",""
"HidUsb","Driver de classe HID da Microsoft","Kernel ",""
"hnswfpdriver","Driver HNS WFP","Kernel ",""
"HpSAMD","HpSAMD","Kernel ","26/03/2013 18:36:54"
"Hsp","Serviço Microsoft Pluton","Kernel ",""
"HTTP","Serviço HTTP","Kernel ",""
"hvcrash","hvcrash","Kernel ",""
"hvservice","Driver do Serviço de Hipervisor da Microsoft","Kernel ",""
"hvsocketcontrol","hvsocketcontrol","Kernel ",""
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Kernel ",""
"hwpolicy","Hardware Policy Driver","Kernel ",""
"hyperkbd","hyperkbd","Kernel ",""
"HyperVideo","HyperVideo","Kernel ",""
"I3CHost","Serviço de Controlador de Host I3C","Kernel ",""
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","Kernel ",""
"iagpio","Driver do Controlador Intel Serial IO GPIO","Kernel ","23/07/2018 06:04:46"
"iai2c","Controlador Host Intel(R) Serial IO I2C","Kernel ","23/07/2018 06:04:39"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","Kernel ","19/04/2018 04:53:24"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","Kernel ","17/04/2018 06:25:15"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","Kernel ","17/04/2018 04:07:03"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","Kernel ","16/05/2018 02:46:36"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","Kernel ","19/04/2018 04:52:58"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","Kernel ","17/04/2018 06:24:40"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","Kernel ","15/07/2019 02:12:12"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","Kernel ","16/05/2018 02:46:02"
"iaLPSSi_GPIO","Driver de Controlador Intel(R) Serial IO GPIO","Kernel ","02/02/2015 06:00:09"
"iaLPSSi_I2C","Intel(R) Serial IO I2C Controller Driver","Kernel ","24/02/2015 12:52:07"
"iaStorAVC","Controlador Intel Chipset SATA RAID","Kernel ","05/09/2019 09:07:32"
"iaStorV","Intel RAID Controller Windows 7","Kernel ","11/04/2011 15:48:16"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","Kernel ","19/06/2019 10:20:09"
"IndirectKmd","Driver de modo Kernel de Indirect Displays","Kernel ",""
"IntcAzAudAddService","Service for Realtek HD Audio (WDM)","Kernel ","14/05/2019 08:25:05"
"intelide","intelide","Kernel ",""
"intelpep","Driver Intel(R) Power Engine Plug-in","Kernel ",""
"intelpmax","Driver do Gerenciador de Energia para Horário de Pico de Dispositivo Dinâmico Intel(R)","Kernel ",""
"IntelPMT","Serviço de Tecnologia de Monitoramento da Plataforma Intel(R)","Kernel ",""
"intelppm","Driver de Processador Intel","Kernel ",""
"iorate","Driver do Filtro de Taxa de E/S de Disco","Kernel ",""
"IpFilterDriver","Driver de filtro de tráfego IP","Kernel ",""
"IPMIDRV","IPMIDRV","Kernel ",""
"IPNAT","IP Network Address Translator","Kernel ",""
"IPT","IPT","Kernel ",""
"isapnp","isapnp","Kernel ",""
"iScsiPrt","Driver iScsiPort","Kernel ",""
"ItSas35i","ItSas35i","Kernel ","01/03/2021 07:15:20"
"kbdclass","Driver de Classe de Teclado","Kernel ",""
"kbdhid","Keyboard HID Driver","Kernel ",""
"kbldfltr","kbldfltr","Kernel ",""
"kdnic","Miniporta de Rede de Depuração de Kernel da Microsoft","Kernel ",""
"kdnic_legacy","Miniporta de Rede de Depuração de Kernel da Microsoft (NDIS 6.20)","Kernel ",""
"KSecDD","KSecDD","Kernel ",""
"KSecPkg","KSecPkg","Kernel ",""
"KslD","KslD","Kernel ",""
"ksthunk","Kernel Streaming Thunks","Kernel ",""
"l1vhlwf","Virtualização de Rede Aninhada","Kernel ",""
"l2bridge","Driver de Ponte","Kernel ",""
"lltdio","Driver de E/S do Mapeador de Descoberta de Topologia de Camada de Link","Kernel ",""
"LSI_SAS","LSI_SAS","Kernel ","25/03/2015 16:36:48"
"LSI_SAS2i","LSI_SAS2i","Kernel ","02/08/2017 10:29:59"
"LSI_SAS3i","LSI_SAS3i","Kernel ","21/08/2020 04:33:28"
"luafv","Virtualização de arquivo UAC","File System ",""
"lunparser","LUN Parser","Kernel ",""
"lxss","lxss","Kernel ",""
"mausbhost","Driver do Controlador MA USB Host","Kernel ",""
"mausbip","Driver do Filtro MA USB IP","Kernel ",""
"MbbCx","MBB Network Adapter Class Extension","Kernel ",""
"megasas2i","megasas2i","Kernel ","22/01/2020 06:57:48"
"megasas35i","megasas35i","Kernel ","12/01/2021 04:59:10"
"megasr","megasr","Kernel ","03/06/2013 19:02:39"
"Microsoft_Bluetooth_AvrcpTransport","Driver de Transporte Avrcp Bluetooth da Microsoft","Kernel ",""
"mlx4_bus","Mellanox ConnectX Bus Enumerator","Kernel ","19/06/2019 10:21:08"
"MMCSS","Multimedia Class Scheduler","Kernel ",""
"Modem","Modem","Kernel ",""
"monitor","Microsoft Monitor Class Function Driver Service","Kernel ",""
"mouclass","Mouse Class Driver","Kernel ",""
"mouhid","Mouse HID Driver","Kernel ",""
"mountmgr","Gerenciador de Pontos de Montagem","Kernel ",""
"mpi3drvi","mpi3drvi","Kernel ","16/11/2021 19:22:38"
"mpsdrv","Windows Defender Firewall Authorization Driver","Kernel ",""
"MRxDAV","Driver do Redirecionador de Cliente WebDav","File System ",""
"mrxsmb","Wrapper e Mecanismo Mini-Redirecionador do SMB","File System ",""
"mrxsmb20","Mini-Redirecionador do SMB 2.0","File System ",""
"MsBridge","Ponte Microsoft MAC","Kernel ",""
"Msfs","Msfs","File System ",""
"msgpiowin32","Driver Comum para Botões, Indicador de Modo de Encaixe e Notebook/Slate","Kernel ",""
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Kernel ",""
"mshidumdf","Pass-through HID to UMDF Driver","Kernel ",""
"msisadrv","msisadrv","Kernel ",""
"MSKSSRV","Proxy de serviço de stream Microsoft","Kernel ",""
"MsLldp","Protocolo Microsoft LLDP","Kernel ",""
"MSPCLOCK","Proxy do relógio de stream Microsoft","Kernel ",""
"MSPQM","Proxy de gerenciador de qualidade de stream Microsoft","Kernel ",""
"MsQuic","MsQuic","Kernel ",""
"MsQuicPrev","MSQUIC","Kernel ",""
"MsRPC","MsRPC","Kernel ",""
"MsSecCore","Driver de Inicialização Principal de Segurança da Microsoft","Kernel ",""
"MsSecFlt","Minifiltro do Componente de Eventos de Segurança da Microsoft","Kernel ",""
"MsSecWfp","Driver de Chamada WFP de Segurança da Microsoft","Kernel ",""
