
Nome da imagem            Identifi Nome da sessão       Sessão# Uso de memór Status          Nome de usuário                                    Tempo de CPU Título da janela                                                        
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         AUTORIDADE NT\SISTEMA                                   0:42:16 N/A                                                                     
MpDefenderCoreService.exe     3844 Services                   0     31.160 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3884 Services                   0     12.180 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RtkAudUService64.exe          3944 Services                   0     13.132 K Unknown         N/A                                                     0:00:00 N/A                                                                     
sqlwriter.exe                 3956 Services                   0     10.776 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3964 Services                   0      7.428 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3976 Services                   0     11.536 K Unknown         N/A                                                     0:00:00 N/A                                                                     
mysqld.exe                    3988 Services                   0     26.772 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4004 Services                   0     26.536 K Unknown         N/A                                                     0:00:00 N/A                                                                     
wslservice.exe                4072 Services                   0     32.072 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MsMpEng.exe                   3228 Services                   0    349.160 K Unknown         N/A                                                     0:01:38 N/A                                                                     
svchost.exe                   4588 Services                   0      8.392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
mysqld.exe                    4736 Services                   0    200.432 K Unknown         N/A                                                     0:00:03 N/A                                                                     
conhost.exe                   4772 Services                   0      9.320 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5976 Services                   0     16.360 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   5984 Services                   0     42.352 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   6052 Services                   0     10.028 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5072 Services                   0      9.800 K Unknown         N/A                                                     0:00:00 N/A                                                                     
AggregatorHost.exe            5284 Services                   0     11.508 K Unknown         N/A                                                     0:00:00 N/A                                                                     
