
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61282  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61283  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61284  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61285  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61286  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61287  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61288  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  ESTABLISHED     1780
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61289  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61290  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61291  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61292  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61293  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61294  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61295  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61296  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61297  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61298  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61299  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61300  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61301  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61302  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61303  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61304  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61305  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61306  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61307  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61308  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61309  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61310  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61311  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61312  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61313  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61314  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61315  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61316  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61317  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61318  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61319  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61320  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61321  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61322  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61323  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61324  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61325  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61326  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61327  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61328  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61329  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61330  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61331  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61332  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61333  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61334  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61335  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61336  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61337  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61339  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61340  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61341  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61342  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61343  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61344  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61345  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61346  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61347  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61348  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61349  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61350  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61351  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61352  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61353  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61354  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61355  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61356  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61357  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61358  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61359  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61360  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61361  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61362  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61363  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61364  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61365  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61366  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61367  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61368  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61369  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61370  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61371  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61372  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61373  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61374  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61375  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61376  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61377  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61378  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61379  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61380  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61381  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61382  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61383  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61384  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61385  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61386  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61387  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61388  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61389  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61390  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61391  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61392  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61393  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61394  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61395  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61396  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61397  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61398  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61399  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61401  [2a06:98c1:3104::ac40:9262]:443  ESTABLISHED     11484
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61402  [2606:4700:20::681a:5e9]:443  ESTABLISHED     1780
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61403  [2a06:98c1:3100::6812:202f]:443  ESTABLISHED     11892
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61405  [2603:1056:c01:1004::2]:443  ESTABLISHED     7292
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:62971  [2606:4700::6812:572a]:443  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64298  [2600:1419:d400::1749:d823]:443  CLOSE_WAIT      9660
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64300  [2603:1056:c01:1031::2]:443  ESTABLISHED     8236
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64301  [2606:4700:4409::ac40:9045]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64303  [2600:1901:0:7a0b::]:443  ESTABLISHED     1360
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64304  [2620:149:1369::4]:443  ESTABLISHED     5192
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64305  [2603:1063:27:1::14]:443  ESTABLISHED     3844
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64306  [2620:149:1369::4]:443  ESTABLISHED     5696
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64311  [2620:12a:8001::4]:443  ESTABLISHED     12800
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:64986  [2a06:98c1:3100::6812:202f]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:65147  [2800:3f0:4004:811::2005]:443  TIME_WAIT       0
  UDP    0.0.0.0:53             *:*                                    3296
  UDP    0.0.0.0:53             *:*                                    3296
  UDP    0.0.0.0:500            *:*                                    3760
  UDP    0.0.0.0:4500           *:*                                    3760
  UDP    0.0.0.0:5050           *:*                                    6460
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5353           *:*                                    2100
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5353           *:*                                    11040
  UDP    0.0.0.0:5355           *:*                                    2100
  UDP    0.0.0.0:49397          0.0.32.10:443                          6096
  UDP    0.0.0.0:49909          *:*                                    3296
  UDP    0.0.0.0:49910          *:*                                    3296
  UDP    0.0.0.0:54070          0.0.0.13:443                           6096
  UDP    0.0.0.0:57304          *:*                                    3296
  UDP    0.0.0.0:57734          172.64.155.209:443                     11484
  UDP    0.0.0.0:62254          0.0.32.14:443                          6096
  UDP    127.0.0.1:1900         *:*                                    8656
  UDP    127.0.0.1:51703        127.0.0.1:51704                        4212
  UDP    127.0.0.1:51704        127.0.0.1:51703                        4212
  UDP    127.0.0.1:51705        127.0.0.1:51706                        12804
  UDP    127.0.0.1:51706        127.0.0.1:51705                        12804
  UDP    127.0.0.1:54860        127.0.0.1:54861                        5192
  UDP    127.0.0.1:54861        127.0.0.1:54860                        5192
  UDP    127.0.0.1:55319        *:*                                    8656
  UDP    127.0.0.1:57749        127.0.0.1:57749                        3772
  UDP    127.0.0.1:61646        127.0.0.1:61647                        2792
  UDP    127.0.0.1:61647        127.0.0.1:61646                        2792
  UDP    127.0.0.1:61648        127.0.0.1:61649                        5696
  UDP    127.0.0.1:61649        127.0.0.1:61648                        5696
  UDP    172.18.224.1:67        *:*                                    3296
  UDP    172.18.224.1:68        *:*                                    3296
  UDP    172.18.224.1:137       *:*                                    4
  UDP    172.18.224.1:138       *:*                                    4
  UDP    172.18.224.1:1900      *:*                                    8656
  UDP    172.18.224.1:55320     *:*                                    8656
  UDP    172.29.32.1:137        *:*                                    4
  UDP    172.29.32.1:138        *:*                                    4
  UDP    172.29.32.1:1900       *:*                                    8656
  UDP    172.29.32.1:55321      *:*                                    8656
  UDP    192.168.1.64:137       *:*                                    4
  UDP    192.168.1.64:138       *:*                                    4
  UDP    192.168.1.64:1900      *:*                                    8656
  UDP    192.168.1.64:55318     *:*                                    8656
  UDP    [::]:500               *:*                                    3760
  UDP    [::]:4500              *:*                                    3760
  UDP    [::]:5353              *:*                                    11040
  UDP    [::]:5353              *:*                                    2100
  UDP    [::]:5353              *:*                                    11040
  UDP    [::]:5353              *:*                                    11040
  UDP    [::]:5355              *:*                                    2100
  UDP    [::]:49397             [2800:3f0:4004:815::200a]:443                  6096
  UDP    [::]:49911             *:*                                    3296
  UDP    [::]:54070             [2804:d40:96:3001::d]:443                  6096
  UDP    [::]:56804             [fe80::1%8]:53                         15100
  UDP    [::]:56805             [fe80::1%8]:53                         15876
  UDP    [::]:57305             *:*                                    3296
  UDP    [::]:57734             [2a06:98c1:310b::ac40:9bd1]:443                  11484
  UDP    [::]:62254             [2800:3f0:4004:812::200e]:443                  6096
  UDP    [::1]:1900             *:*                                    8656
  UDP    [::1]:55315            *:*                                    8656
  UDP    [fe80::46a3:cc35:e981:e661%24]:1900  *:*                                    8656
  UDP    [fe80::46a3:cc35:e981:e661%24]:55317  *:*                                    8656
  UDP    [fe80::6c76:2f59:9683:d21d%8]:1900  *:*                                    8656
  UDP    [fe80::6c76:2f59:9683:d21d%8]:55314  *:*                                    8656
  UDP    [fe80::924e:991b:8b60:bab4%13]:1900  *:*                                    8656
  UDP    [fe80::924e:991b:8b60:bab4%13]:55316  *:*                                    8656
