
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:56046  [2800:3f0:4003:c08::bc]:5228  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59838  [2600:1901:0:47fc::]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59858  [2620:149:1369::4]:443  ESTABLISHED     12804
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59862  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59863  [2606:4700:440c::6812:2bbb]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59865  [2606:4700:440c::6812:2bbb]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59867  [2606:4700:440c::6812:2bbb]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:59868  [2600:1901:0:ad71::]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:60127  [2600:9000:26ea:6200:f:4737:4580:93a1]:443  CLOSE_WAIT      6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:60566  [2606:4700::6810:752b]:443  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61015  [2a06:98c1:310d::ac40:9b77]:443  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61149  [2600:1901:0:7a0b::]:443  ESTABLISHED     12068
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61151  [2606:4700:440c::6812:2bbb]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61152  [2a06:98c1:3105::ac40:904e]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61155  [2603:1061:14:121::1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61156  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61157  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61158  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61159  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61160  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61161  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61162  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61163  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61164  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61165  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61166  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61167  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61168  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61169  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61170  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61171  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61172  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61173  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61174  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61175  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61176  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61177  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61178  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61179  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61180  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61181  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61182  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61183  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61184  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61185  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61186  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61187  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61188  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61189  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61190  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61191  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61192  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61193  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61194  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61195  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61196  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61197  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61198  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61199  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61200  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61201  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61202  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61203  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61204  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61205  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61206  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61207  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61208  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61209  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61210  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61211  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61212  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61213  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61214  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61215  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61216  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61217  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61218  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61219  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
